City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Wind Speed
66,Mana,17,GF,few clouds,65,5.66,-53.78,84.63,8.68
67,Sambava,17,MG,few clouds,77,-14.27,50.17,70.27,12.88
68,Kjollefjord,27,NO,scattered clouds,74,70.95,27.35,60.69,19.48
69,Chicama,13,PE,few clouds,55,-7.84,-79.15,71.67,10.13
70,Borba,0,BR,clear sky,23,-4.39,-59.59,97.34,1.48
71,Ilulissat,20,GL,few clouds,61,69.22,-51.1,46.4,4.7
72,Faya,3,SA,haze,83,18.39,42.45,71.6,3.36
73,Druzhba,0,UA,clear sky,80,52.04,33.95,57.31,4.72
74,San Cristobal,40,VE,scattered clouds,36,7.77,-72.22,93.2,20.8
75,Ribeira Grande,75,PT,broken clouds,73,38.52,-28.7,75.2,4.7
76,Hamilton,40,US,scattered clouds,69,39.18,-84.53,82.0,5.82
77,Banikoara,84,BJ,broken clouds,91,11.3,2.44,73.76,0.63
78,Puerto Leguizamo,80,CO,broken clouds,69,-0.19,-74.78,78.39,4.83
79,Englewood,20,US,haze,9,39.65,-104.99,95.0,9.17
80,Valparaiso,90,CL,fog,100,-33.04,-71.63,53.01,13.87
81,Maragogi,54,BR,light rain,83,-9.01,-35.22,75.51,7.65
82,Ariquemes,0,BR,clear sky,28,-9.91,-63.04,87.75,4.7
83,Saint George,1,US,clear sky,29,37.1,-113.58,100.99,6.93
84,Konakovo,100,RU,overcast clouds,82,56.7,36.77,60.1,3.27
85,Kondagaon,80,IN,broken clouds,95,19.6,81.67,71.94,5.61
86,Kismayo,35,SO,scattered clouds,81,-0.36,42.55,76.82,18.07
87,Sayyan,86,YE,light rain,61,15.17,44.32,67.57,5.7
88,Utevka,0,RU,clear sky,87,52.9,50.95,52.99,6.24
89,Tessalit,87,ML,overcast clouds,14,20.2,1.01,100.89,9.33
90,Dikson,93,RU,overcast clouds,75,73.51,80.55,47.84,8.72
91,Cayenne,7,GF,clear sky,55,4.93,-52.33,87.8,2.24
92,Weligama,100,LK,light rain,87,5.97,80.42,79.09,5.28
